,category,id,name,target
92,sport,article-jan-3329,SFA awaits report over Mikoliunas,2
93,sport,article-jan-1087,Safin cool on Wimbledon,2
94,sport,article-jan-0480,Safin plays down Wimbledon hopes,2
95,technology,article-jan-2591,Satellite mapping aids Darfur relief,0
96,technology,article-jan-2407,Search sites get closer to users,0
97,technology,article-jan-1520,Security scares spark browser fix,0
98,business,article-jan-3036,Senior Fannie Mae bosses resign,1
99,technology,article-jan-1051,Solutions to net security fears,0
100,business,article-jan-2864,Split-caps pay £194m compensation,1
101,sport,article-jan-4078,Sports Stock Tips,2
102,business,article-jan-0269,Strong quarterly growth for Nike,1
103,technology,article-jan-1728,T-Mobile bets on 'pocket office',0
104,sport,article-jan-0976,Thanou desperate to make return,2
105,sport,article-jan-3315,Thompson says Gerrard should stay,2
106,sport,article-jan-3425,Time to get tough on friendlies?,2
107,technology,article-jan-1296,US peer-to-peer pirates convicted,0
108,technology,article-jan-4675,US top of supercomputing charts,0
109,business,article-jan-3694,Venezuela and China sign oil deal,1
110,business,article-jan-1550,Weak end-of-year sales hit Next,1
111,sport,article-jan-1587,Williams says he will never quit,2
112,business,article-jan-0587,Winemaker rejects Foster's offer,1
113,business,article-jan-1650,Worldcom boss 'left books alone',1
114,technology,article-jan-0867,Xbox 2 may be unveiled in summer,0
115,technology,article-jan-0457,Xbox power cable 'fire fear',0
116,business,article-jan-2075,Yangtze Electric's profits double,1
117,business,article-jan-3244,Yukos loses US bankruptcy battle,1
118,business,article-feb-3392,7 business technology trends to watch,1
119,sport,article-feb-0704,A November to remember,2
120,technology,article-feb-0913,A question of trust and technology,0
121,business,article-feb-3975,Ad sales boost Time Warner profit,1
122,sport,article-feb-0641,African double in Edinburgh,2
123,business,article-feb-0608,Air passengers win new EU rights,1
124,technology,article-feb-4436,Anti-spam screensaver scrapped,0
125,sport,article-feb-0930,Arsenal through on penalties,2
126,business,article-feb-4492,BP surges ahead on high oil price,1
127,business,article-feb-4474,Bank holds interest rate at 4.75%,1
128,business,article-feb-4340,Bank set to leave rates on hold,1
129,sport,article-feb-1116,Bekele sets sights on world mark,2
130,sport,article-feb-2873,Bitter Santini hits out at Spurs,2
131,technology,article-feb-2303,Blogs take on the mainstream,0
132,business,article-feb-2977,Brewers' profits lose their fizz,1
133,business,article-feb-4547,Bush to outline 'toughest' budget,1
134,business,article-feb-3154,Buyers snap up Jet Airways' shares,1
135,business,article-feb-1466,Cairn shares up on new oil find,1
136,sport,article-feb-3116,Campbell to extend sprint career,2
137,sport,article-feb-3641,Celtic make late bid for Bellamy,2
138,sport,article-feb-3724,Charlton 1-2 Liverpool,2
139,sport,article-feb-1553,Chepkemei joins Edinburgh line-up,2
140,business,article-feb-0192,"Chinese billionaire targets Manchester United shares in new deal, reports suggest",1
141,sport,article-feb-2830,Collins calls for Chambers return,2
142,technology,article-feb-2366,Commodore finds new lease of life,0
143,technology,article-feb-3261,Creator of first Apple Mac dies,0
144,sport,article-feb-2526,Cudicini misses Carling Cup final,2
145,sport,article-feb-3097,Davenport hits out at Wimbledon,2
146,sport,article-feb-1454,Davies favours Gloucester future,2
147,business,article-feb-0258,Deutsche Telekom sees mobile gain,1
148,sport,article-feb-4548,"Dibaba breaks 5,000m world record",2
149,sport,article-feb-0679,Dogged Federer claims Dubai crown,2
150,business,article-feb-1000,Dollar hovers around record lows,1
151,sport,article-feb-1821,Dundee Utd 4-1 Aberdeen,2
152,business,article-feb-4494,EC calls truce in deficit battle,1
153,business,article-feb-0250,EU-US seeking deal on air dispute,1
154,business,article-feb-2382,Egypt and Israel seal trade deal,1
155,business,article-feb-4407,Egypt to sell off state-owned bank,1
156,sport,article-feb-3768,El Guerrouj targets cross country,2
157,sport,article-feb-3375,FA ready to test out goal bleeper,2
158,business,article-feb-2553,FBI agent colludes with analyst,1
159,technology,article-feb-2750,Fast moving phone bugs appear,0
160,sport,article-feb-0829,Ferguson fears Milan cutting edge,2
161,sport,article-feb-3941,Finnan says Irish can win group,2
162,sport,article-feb-1333,Fit-again Betsen in France squad,2
163,business,article-feb-3708,Five million Germans out of work,1
164,technology,article-feb-1684,Format wars could 'confuse users',0
165,sport,article-feb-4876,Giggs handed Wales leading role,2
166,technology,article-feb-1493,Gritty return for Prince of Persia,0
167,sport,article-feb-0113,Hewitt survives Nalbandian epic,2
168,business,article-feb-2502,Honda wins China copyright ruling,1
169,business,article-feb-2351,India seeks to boost construction,1
170,business,article-feb-1245,India's Deccan gets more planes,1
171,business,article-feb-2809,Indy buys into India paper,1
172,business,article-feb-4569,Intercom raises €101m in funding round making it the most valuable Irish tech firm,1
173,business,article-feb-4323,Iranian MPs threaten mobile deal,1
174,business,article-feb-3937,Irish company hit by Iraqi report,1
175,sport,article-feb-1582,Italy aim to rattle England,2
176,business,article-feb-1312,Italy to get economic action plan,1
177,sport,article-feb-2836,Juninho demand for O'Neill talks,2
178,sport,article-feb-0505,Kenyon denies Robben Barca return,2
179,sport,article-feb-3556,Kerr frustrated at victory margin,2
180,sport,article-feb-4691,Klinsmann issues Lehmann warning,2
181,business,article-feb-4543,LSE 'sets date for takeover deal',1
182,sport,article-feb-3028,Lewis-Francis eyeing world gold,2
183,technology,article-feb-1960,Lifestyle 'governs mobile choice',0
184,technology,article-feb-4127,Looks and music to drive mobiles,0
185,sport,article-feb-4247,Man Utd through after Exeter test,2
186,sport,article-feb-2114,Martinez sees off Vinci challenge,2
187,technology,article-feb-0571,Microsoft makes anti-piracy move,0
188,sport,article-feb-0451,Middlesbrough 2-2 Charlton,2
189,sport,article-feb-1201,Mido makes third apology,2
190,technology,article-feb-4578,Millions buy MP3 players in US,0
191,business,article-feb-3474,Mixed signals from French economy,1
192,technology,article-feb-4987,Mobile picture power in your pocket,0
193,sport,article-feb-4718,Moore questions captaincy,2
194,sport,article-feb-2135,More Africans for tsunami game,2
195,sport,article-feb-1118,Murphy: That was a bruising battle,2
196,sport,article-feb-4768,Navratilova hits out at critics,2
197,sport,article-feb-4017,O'Driscoll out of Scotland game,2
198,sport,article-feb-1005,O'Gara revels in Ireland victory,2
199,sport,article-feb-0504,Owen dismisses fresh Real rumours,2
200,technology,article-feb-1308,PC ownership to 'double by 2010',0
201,sport,article-feb-2371,Paris promise raises Welsh hopes,2
202,business,article-feb-3067,Parmalat sues 45 banks over crash,1
203,technology,article-feb-1134,Progress on new internet domains,0
204,business,article-feb-1004,Qantas considers offshore option,1
205,sport,article-feb-0814,Radcliffe tackles marathon tasks,2
206,sport,article-feb-4229,Rangers seal Old Firm win,2
207,sport,article-feb-0630,Record fails to lift lacklustre meet,2
208,business,article-feb-2030,Record year for Chilean copper,1
209,sport,article-feb-1336,Republic to face China and Italy,2
210,sport,article-feb-3074,Robben sidelined with broken foot,2
211,technology,article-feb-1812,Robots learn 'robotiquette' rules,0
212,technology,article-feb-1149,Rolling out next generation's net,0
213,business,article-feb-0800,Russia WTO talks 'make progress',1
214,technology,article-feb-2206,Screensaver tackles spam websites,0
215,technology,article-feb-0110,Slim PlayStation triples sales,0
216,business,article-feb-3700,Standard Life concern at LSE bid,1
217,business,article-feb-4539,"Steel firm 'to cut' 45,000 jobs",1
218,sport,article-feb-0707,Stuart joins Norwich from Addicks,2
219,technology,article-feb-2055,Sun offers processing by the hour,0
220,technology,article-feb-4838,Tech helps disabled speed demons,0
221,technology,article-feb-2802,Telewest to challenge Sky Plus,0
222,sport,article-feb-2640,Thanou bullish over drugs hearing,2
223,technology,article-feb-4399,The Force is strong in Battlefront,0
224,technology,article-feb-0406,The gaming world in 2005,0
225,business,article-feb-2304,Turkey knocks six zeros off lira,1
226,business,article-feb-2170,UK Coal plunges into deeper loss,1
227,business,article-feb-3783,US trade gap ballooned in October,1
228,business,article-feb-4402,Unilever shake up as profit slips,1
229,sport,article-feb-1028,Wales get Williams fitness boost,2
230,sport,article-feb-2316,Wales stars need a rest - Ruddock,2
231,business,article-feb-0243,Wall Street cool to eBay's profit,1
232,technology,article-feb-2017,Warnings about junk mail deluge,0
233,technology,article-feb-2660,Web radio takes Spanish rap global,0
234,sport,article-feb-0224,Wenger shock at Newcastle dip,2
235,technology,article-feb-2955,When invention turns to innovation,0
236,technology,article-feb-4616,Who do you think you are?,0
237,sport,article-feb-0576,Wilkinson to miss Ireland match,2
238,business,article-feb-0519,Winn-Dixie files for bankruptcy,1
239,business,article-feb-1952,Yukos sues four firms for $20bn,1
240,sport,article-mar-1126,A year to remember for Irish,2
241,sport,article-mar-3331,An Irish Athletics Year,2
242,sport,article-mar-3141,Arnesen denies rift with Santini,2
243,business,article-mar-3697,Asia shares defy post-quake gloom,1
244,business,article-mar-3655,Bank payout to Pinochet victims,1
245,sport,article-mar-2120,Barcelona title hopes hit by loss,2
246,business,article-mar-2380,Bargain calls widen Softbank loss,1
247,sport,article-mar-1445,Bayern Munich 3-1 Arsenal,2
248,sport,article-mar-1627,Benitez deflects blame from Dudek,2
249,technology,article-mar-0220,Blog reading explodes in America,0
250,technology,article-mar-1595,Broadband challenges TV viewing,0
251,technology,article-mar-4085,Broadband in the UK growing fast,0
252,sport,article-mar-2495,Calder fears for Scottish rugby,2
253,sport,article-mar-4902,Captains lining up for Aid match,2
254,sport,article-mar-3484,Celts savour Grand Slam prospect,2
255,sport,article-mar-1905,Chelsea ridiculed over complaint,2
256,business,article-mar-1702,China keeps tight rein on credit,1
257,technology,article-mar-4607,China net cafe culture crackdown,0
258,business,article-mar-4510,China suspends 26 power projects,1
259,business,article-mar-1543,Christmas shoppers flock to tills,1
260,sport,article-mar-0210,Collins named UK Athletics chief,2
261,technology,article-mar-1989,Court mulls file-sharing future,0
262,business,article-mar-4293,Crude oil prices back above $50,1
263,technology,article-mar-0521,Cyber criminals step up the pace,0
264,technology,article-mar-3692,DVD copy protection strengthened,0
265,business,article-mar-2874,Deutsche attacks Yukos case,1
266,sport,article-mar-3420,Disappointed Scott in solid start,2
267,business,article-mar-3360,Durex maker SSL awaits firm bid,1
268,technology,article-mar-0037,EA to take on film and TV giants,0
269,sport,article-mar-2432,Edu blasts Arsenal,2
270,technology,article-mar-1244,Europe backs digital TV lifestyle,0
271,sport,article-mar-1251,Farrell saga to drag on - Lindsay,2
272,business,article-mar-0183,Featured: 'Golden economic period' to end,1
273,business,article-mar-2000,Feta cheese battle reaches court,1
274,business,article-mar-3083,Firms pump billions into pensions,1
275,technology,article-mar-3722,First look at PlayStation 3 chip,0
276,business,article-mar-1165,Ford gains from finance not cars,1
277,sport,article-mar-2123,Fuming Robinson blasts officials,2
278,sport,article-mar-3909,GB quartet get cross country call,2
279,technology,article-mar-0579,Gadget market 'to grow in 2005',0
280,technology,article-mar-3023,Gadgets galore on show at fair,0
281,technology,article-mar-0977,Games help you 'learn and play',0
282,business,article-mar-4216,Gaming firm to sell UK dog tracks,1
283,business,article-mar-2195,Germany nears 1990 jobless level,1
284,sport,article-mar-4576,Greek pair attend drugs hearing,2
285,sport,article-mar-2382,Gronkjaer agrees switch to Madrid,2
286,technology,article-mar-0012,Half of UK's mobiles 'go online',0
287,sport,article-mar-4343,Hantuchova in Dubai last eight,2
288,technology,article-mar-3567,Have hackers recruited your PC?,0
289,sport,article-mar-1674,Healey targets England comeback,2
290,business,article-mar-3810,High fuel costs hit US airlines,1
291,business,article-mar-3301,High fuel prices hit BA's profits,1
292,technology,article-mar-2795,Hotspot users gain free net calls,0
293,business,article-mar-3037,House prices drop as sales slow,1
294,business,article-mar-1629,House prices show slight increase,1
295,technology,article-mar-0481,ITunes user sues Apple over iPod,0
296,business,article-mar-0388,India widens access to telecoms,1
297,technology,article-mar-1453,Iran jails blogger for 14 years,0
298,business,article-mar-1606,Irish duo could block Man Utd bid,1
299,sport,article-mar-1230,Italy 8-38 Wales,2
300,sport,article-mar-3153,Johnson uncertain about Euro bid,2
301,sport,article-mar-0170,Kirwan demands Italy consistency,2
302,business,article-mar-4481,Liberian economy starts to grow,1
303,business,article-mar-4754,Malaysia lifts Islamic bank limit,1
304,sport,article-mar-3612,Man Utd stroll to Cup win,2
305,technology,article-mar-3927,Man auctions ad space on forehead,0
306,business,article-mar-4340,Manufacturing recovery 'slowing',1
307,business,article-mar-1335,Markets signal Brazilian recovery,1
308,sport,article-mar-2040,Merritt close to indoor 400m mark,2
309,technology,article-mar-0033,Microsoft debuts security tools,0
310,technology,article-mar-2536,Microsoft releases patches,0
311,business,article-mar-4512,Minister hits out at Yukos sale,1
312,sport,article-mar-4615,Mirza shocks Kuznetsova,2
313,sport,article-mar-4246,Mourinho receives Robson warning,2
314,sport,article-mar-4861,Moya emotional after Davis Cup win,2
315,business,article-mar-4279,Nasdaq planning $100m share sale,1
316,sport,article-mar-4599,Newcastle 2-1 Bolton,2
317,sport,article-mar-2276,Newcastle to join Morientes race,2
318,business,article-mar-1739,News Corp makes $5.4bn Fox offer,1
319,business,article-mar-4407,Nigeria to boost cocoa production,1
320,technology,article-mar-3144,Nintendo DS aims to touch gamers,0
321,business,article-mar-0182,Novartis hits acquisition trail,1
322,business,article-mar-2488,Profits stall at China's Lenovo,1
323,business,article-mar-4584,Putin backs state grab for Yukos,1
324,business,article-mar-4102,Quiksilver moves for Rossignol,1
325,sport,article-mar-3792,Redknapp poised for Saints,2
326,sport,article-mar-0131,Robertson out to retain Euro lure,2
327,technology,article-mar-4398,Seamen sail into biometric future,0
328,business,article-mar-0463,Singapore growth at 8.1% in 2004,1
329,sport,article-mar-0029,Slovakia reach Hopman Cup final,2
330,sport,article-mar-4749,Sociedad set to rescue Mladenovic,2
331,technology,article-mar-3392,Sony wares win innovation award,0
332,business,article-mar-0952,Soros group warns of Kazakh close,1
333,technology,article-mar-1203,Sport-loving inventors whose tech could change the game,0
334,sport,article-mar-2048,Sprinter Walker quits athletics,2
335,business,article-mar-3318,Stock market eyes Japan recovery,1
336,business,article-mar-2788,Swiss cement firm in buying spree,1
337,technology,article-mar-4562,Text message record smashed,0
338,technology,article-mar-0620,The pirates with no profit motive,0
339,business,article-mar-4001,Tsunami to cost Sri Lanka $1.3bn,1
340,sport,article-mar-1599,UK Athletics agrees new kit deal,2
341,technology,article-mar-2785,US cyber security chief resigns,0
342,technology,article-mar-1454,US hacker breaks into T-Mobile,0
343,business,article-mar-1913,US industrial output growth eases,1
344,business,article-mar-4140,"US insurer Marsh cuts 2,500 jobs",1
345,business,article-mar-4357,US manufacturing expands,1
346,business,article-mar-4898,US to rule on Yukos refuge call,1
347,sport,article-mar-0550,Van Nistelrooy set to return,2
348,sport,article-mar-2508,Vickery upbeat about arm injury,2
349,technology,article-mar-2039,Video phones act as dating tools,0
350,business,article-mar-4111,Virgin Blue shares plummet 20%,1
351,sport,article-mar-4582,Wada will appeal against ruling,2
352,sport,article-mar-3651,Wales critical of clumsy Grewcock,2
353,sport,article-mar-3663,Wales silent on Grand Slam talk,2
354,sport,article-mar-4500,Wenger rules out new keeper,2
355,sport,article-mar-1916,Wenger signs new deal,2
356,business,article-apr-1897,Axa Sun Life cuts bonus payments,1
357,technology,article-apr-2967,BT boosts its broadband packages,0
358,sport,article-apr-2939,Bates seals takeover,2
359,technology,article-apr-0145,Beckham virus spotted on the net,0
360,technology,article-apr-1938,Broadband fuels online expression,0
361,technology,article-apr-1748,Broadband in the UK gathers pace,0
362,business,article-apr-2559,Burren awarded Egyptian contracts,1
363,business,article-apr-1306,Business fears over sluggish EU economy,1
364,sport,article-apr-2454,Candela completes Bolton switch,2
365,business,article-apr-0039,Cannabis hopes for drug firm,1
366,sport,article-apr-1044,Castaignede fires Laporte warning,2
367,technology,article-apr-2151,Casual gaming to 'take off',0
368,sport,article-apr-2808,Chelsea sack Mutu,2
369,business,article-apr-4324,China Aviation seeks rescue deal,1
370,sport,article-apr-2873,Classy Henman makes winning start,2
371,sport,article-apr-4741,Collins banned in landmark case,2
372,technology,article-apr-0433,Concerns over Windows ATMs,0
373,sport,article-apr-4890,Connors boost for British tennis,2
374,business,article-apr-4575,Crossrail link 'to get go-ahead',1
375,technology,article-apr-0228,Cyber crime booms in 2004,0
376,technology,article-apr-4827,Disney backs Sony DVD technology,0
377,business,article-apr-1926,Dollar slides ahead of New Year,1
378,business,article-apr-1571,Economy 'stronger than forecast',1
379,business,article-apr-1904,Electrolux to export Europe jobs,1
380,business,article-apr-3933,Ethiopia's crop production up 24%,1
381,sport,article-apr-4960,FA charges Liverpool and Millwall,2
382,sport,article-apr-4241,FA probes crowd trouble,2
383,technology,article-apr-4901,Format wars could 'confuse users',0
384,business,article-apr-0724,GM in crunch talks on Fiat future,1
385,technology,article-apr-4907,Game makers get Xbox 2 sneak peek,0
386,technology,article-apr-3088,Gamers could drive high-definition,0
387,technology,article-apr-0395,Google launches TV search service,0
388,sport,article-apr-4460,Harinordoquy suffers France axe,2
389,sport,article-apr-0524,Hearts of Oak 3-2 Cotonsport,2
390,sport,article-apr-3536,Hodges announces rugby retirement,2
391,sport,article-apr-4694,Holmes feted with further honour,2
392,technology,article-apr-3827,Honour for UK games maker,0
393,sport,article-apr-2270,Houllier praises Benitez regime,2
394,technology,article-apr-0205,Humanoid robot learns how to run,0
395,sport,article-apr-1858,Ireland v USA (Sat),2
396,sport,article-apr-3390,Isinbayeva heads for Birmingham,2
397,sport,article-apr-3841,Israeli club look to Africa,2
398,technology,article-apr-4467,Junk e-mails on relentless rise,0
399,sport,article-apr-3842,Kluft impressed by Sotherton form,2
400,business,article-apr-3718,Latin America sees strong growth,1
401,business,article-apr-0784,Libya takes $1bn in unfrozen funds,1
402,technology,article-apr-2677,Loyalty cards idea for TV addicts,0
403,sport,article-apr-3475,Man City 1-1 Newcastle,2
404,sport,article-apr-2558,McCall earns Tannadice reprieve,2
405,sport,article-apr-2706,McClaren eyes Uefa Cup top spot,2
406,sport,article-apr-4921,McClaren hails Boro's Uefa spirit,2
407,sport,article-apr-0240,McIlroy aiming for Madrid title,2
408,technology,article-apr-2106,Microsoft makes anti-piracy move,0
409,technology,article-apr-0622,Microsoft seeking spyware trojan,0
410,business,article-apr-4699,Mild winter drives US oil down 6%,1
411,technology,article-apr-4622,Millions to miss out on the net,0
412,sport,article-apr-2061,Minister digs in over doping row,2
413,sport,article-apr-0646,Mirza makes Indian tennis history,2
414,business,article-apr-4064,Mitsubishi in Peugeot link talks,1
415,technology,article-apr-4854,Mobile multimedia slow to catch on,0
416,technology,article-apr-4446,Mobiles 'not media players yet',0
417,sport,article-apr-0150,Morientes admits to Reds struggle,2
418,sport,article-apr-3146,Mourinho plots impressive course,2
419,sport,article-apr-1270,Mourinho says race is almost over,2
420,sport,article-apr-2879,Moya sidesteps Davis Cup in 2005,2
421,sport,article-apr-1276,Nadal marches on in Mexico,2
422,technology,article-apr-0061,Nintendo adds media playing to DS,0
423,sport,article-apr-1620,O'Connell rejects Lions rumours,2
424,sport,article-apr-2704,O'Driscoll concern at Fifa ruling,2
425,business,article-apr-4823,Oil prices fall back from highs,1
426,business,article-apr-0564,Ore costs hit global steel firms,1
427,sport,article-apr-0338,Parry relishes Anfield challenge,2
428,business,article-apr-4399,Peugeot deal boosts Mitsubishi,1
429,technology,article-apr-4686,PlayStation 3 chip to be unveiled,0
430,technology,article-apr-2813,Portable PlayStation ready to go,0
431,sport,article-apr-0953,Premier League planning Cole date,2
432,business,article-apr-2019,Qantas sees profits fly to record,1
433,sport,article-apr-0042,Radcliffe yet to answer GB call,2
434,sport,article-apr-4569,Redknapp's Saints face Pompey tie,2
435,sport,article-apr-2560,Reds sink 10-man Magpies,2
436,business,article-apr-1918,Reliance unit loses Anil Ambani,1
437,technology,article-apr-0857,Rich pickings for hi-tech thieves,0
438,sport,article-apr-0028,Robinson out of Six Nations,2
439,sport,article-apr-1068,Rovers reject third Ferguson bid,2
440,sport,article-apr-4171,Saint-Andre anger at absent stars,2
441,business,article-apr-4618,Salary scandal in Cameroon,1
442,technology,article-apr-1300,Slimmer PlayStation triple sales,0
443,sport,article-apr-1815,Slovakia seal Hopman Cup success,2
444,technology,article-apr-3833,Smart search lets art fans browse,0
445,sport,article-apr-1205,Smith keen on Home series return,2
446,sport,article-apr-3471,South Africa sweep top awards,2
447,technology,article-apr-4435,Speak easy plan for media players,0
448,technology,article-apr-0484,Speech takes on search engines,0
449,business,article-apr-1009,Tokyo says deflation 'controlled',1
450,business,article-apr-0361,Turkey turns on the economic charm,1
451,business,article-apr-4474,Turkey-Iran mobile deal 'at risk',1
452,business,article-apr-3423,UK 'risks breaking golden rule',1
453,business,article-apr-3100,UK firm faces Venezuelan land row,1
454,technology,article-apr-0865,UK pioneers digital film network,0
455,business,article-apr-0134,US bank in $515m SEC settlement,1
456,business,article-apr-2219,US crude prices surge above $53,1
457,sport,article-apr-0182,Umaga ready for Lions,2
458,business,article-apr-4228,Umbro profits lifted by Euro 2004,1
459,technology,article-apr-3753,Virgin Radio offers 3G broadcast,0
460,technology,article-apr-2040,Virus poses as Christmas e-mail,0
461,technology,article-apr-4036,Voters flock to blog awards site,0
462,sport,article-apr-4395,Wales want rugby league training,2
463,sport,article-apr-4277,Wales win in Rome,2
464,technology,article-apr-1102,Warning over tsunami aid website,0
465,sport,article-apr-3992,Wolves appoint Hoddle as manager,2
466,sport,article-apr-3250,Wood - Ireland can win Grand Slam,2
467,business,article-apr-4031,World leaders gather to face uncertainty,1
468,sport,article-apr-0896,Worthington praises classy Villa,2
469,sport,article-apr-3567,Yachvili savours France comeback,2
470,business,article-apr-3586,Yukos heading back to US courts,1
471,business,article-apr-4951,Yukos seeks court action on sale,1
472,business,article-apr-0345,Yukos unit fetches $9bn at auction,1
473,business,article-may-0284,Air China in $1bn London listing,1
474,sport,article-may-3980,Angry Williams rejects criticism,2
475,business,article-may-2027,Apple Inc. Phone Pricing Likely To Trend Lower,1
476,business,article-may-2024,Argentina closes $102.6bn debt swap,1
477,business,article-may-2738,AstraZeneca hit by drug failure,1
478,sport,article-may-4424,Balco case trial date pushed back,2
479,business,article-may-2659,Battered dollar hits another low,1
480,sport,article-may-4512,Beckham hints at Man Utd return,2
481,sport,article-may-0131,Benitez joy as Reds take control,2
482,technology,article-may-2874,Blind student 'hears in colour',0
483,technology,article-may-2905,Blogger grounded by her airline,0
484,business,article-may-1663,Brazil jobless rate hits new low,1
485,technology,article-may-1702,Broadband set to revolutionise TV,0
486,technology,article-may-4777,Bush website blocked outside US,0
487,business,article-may-2166,Business confidence dips in Japan,1
488,business,article-may-1662,Businesses fail to plan for HIV,1
489,sport,article-may-1837,Campese berates whingeing England,2
490,sport,article-may-1887,Cech sets clean-sheet benchmark,2
491,technology,article-may-3273,China 'blocks Google news site',0
492,business,article-may-2294,China continues rapid growth,1
